alpha 	accuracy
0.001	85.714
0.0214	87.857
0.0418	88.81
0.0622	88.81
0.0826	88.81
0.1029	89.048
0.1233	89.048
0.1437	89.048
0.1641	89.048
0.1845	88.571
0.2049	88.571
0.2253	88.571
0.2457	88.333
0.266	88.333
0.2864	88.81
0.3068	88.81
0.3272	88.81
0.3476	88.571
0.368	88.571
0.3884	88.333
0.4088	88.333
0.4291	88.333
0.4495	88.333
0.4699	88.333
0.4903	88.333
0.5107	88.333
0.5311	88.333
0.5515	88.333
0.5719	88.333
0.5922	88.333
0.6126	88.333
0.633	88.333
0.6534	88.095
0.6738	88.095
0.6942	88.095
0.7146	87.857
0.735	87.857
0.7553	87.857
0.7757	87.857
0.7961	87.619
0.8165	87.619
0.8369	87.619
0.8573	87.619
0.8777	87.619
0.8981	87.857
0.9184	87.857
0.9388	87.857
0.9592	87.857
0.9796	87.857
1.0	87.857
